Year,Expect,College,GDP,Bed
1973,62.281,0.20953,1.38544E+11,1.769999981
1974,63.134,0.34419,1.40941E+11,1.850000024
1975,63.915,0.48452,1.46971E+11,1.919999957
1976,64.631,0.57498,1.40687E+11,2
1977,65.278,0.64845,1.48584E+11,2.069999933
1978,65.857,0.71878,1.13709E+11,2.140000105
1979,66.377,0.98047,1.25987E+11,2.200000048
1980,66.843,1.14174,1.25307E+11,2.230000019
1981,67.256,1.78825,1.22169E+11,2.25
1982,67.618,1.880768,1.17144E+11,2.25999999
1983,67.933,1.911276,1.18707E+11,2.289999962
1984,68.21,2.00207,1.16014E+11,2.329999924
1985,68.451,2.41945,1.22018E+11,2.369999886
1986,68.661,2.96077,1.09186E+11,2.400000095
1987,68.842,3.11485,88798332923,2.480000019
1988,69.002,3.0976,91292805762,2.539999962
1989,69.15,3.01754,97453035006,2.559999943
1990,69.293,3.00736,97138454678,2.579999924
1991,69.437,2.93403,94504873038,2.599999905
1992,69.587,2.85256,92233526566,2.619999886
1993,69.75,2.94351,84579677013,2.630000114
1994,69.935,3.6837,94893130666,2.630000114
1995,70.156,4.47949,1.12904E+11,2.609999895
1996,70.427,5.01017,1.20583E+11,2.549999952
1997,70.747,5.44761,1.22486E+11,2.549999952
1998,71.115,5.95095,1.22159E+11,2.529999971
1999,71.521,6.45695,1.2025E+11,2.519999981
2000,71.955,7.62093,1.22604E+11,2.519999981
2001,72.401,9.76759,1.25407E+11,2.519999981
2002,72.84,12.50686,1.25626E+11,2.450000048
2003,73.257,15.24153,1.28358E+11,2.2
2004,73.642,17.44008,1.36804E+11,3
2005,73.987,18.84937,1.44216E+11,2.45
2006,74.291,20.0445,1.53244E+11,2.23
2007,74.562,20.46084,1.72443E+11,2.5
2008,74.808,20.67279,2.02746E+11,3
2009,75.032,22.39873,2.07659E+11,4.2
2010,75.236,24.05031,2.24767E+11,3.56
2011,75.425,25.2921,2.55962E+11,3.8
2012,75.602,28.03519,2.66443E+11,3.56
2013,75.769,31.45986,2.79197E+11,3.89
2014,75.932,41.27773,2.81284E+11,3.96
2015,76.092,45.35072,2.7905E+11,4.1
2016,76.252,48.44105,2.64513E+11,4.2
